Date,Predictions
15-10-21,2802.842845
16-10-21,2269.921216
17-10-21,2477.731222
18-10-21,2766.814993
19-10-21,2374.391302
20-10-21,4186.429835
21-10-21,2634.995112
22-10-21,3224.937062
23-10-21,2642.168428
24-10-21,2854.989656
25-10-21,3131.258707
26-10-21,2469.064621
27-10-21,4471.077448
28-10-21,4372.243949
29-10-21,2449.300268
30-10-21,4226.472085
31-10-21,2639.507459
01-11-21,2433.129533
02-11-21,2573.880538
03-11-21,4442.419052
04-11-21,3804.16246
05-11-21,3462.448724
06-11-21,3693.37068
07-11-21,2953.085859
08-11-21,2977.186214
09-11-21,4365.612165
10-11-21,3207.222727
11-11-21,2557.419971
12-11-21,4457.031704
13-11-21,3246.888111
14-11-21,3909.868123
15-11-21,2895.424804
16-11-21,2839.780399
17-11-21,2721.443433
18-11-21,2278.374263
19-11-21,2782.995963
20-11-21,3380.377975
21-11-21,2515.383876
22-11-21,2365.228514
23-11-21,2941.680006
24-11-21,3469.532288
25-11-21,4514.959642
26-11-21,4251.465519
27-11-21,3916.502407
28-11-21,2659.192501
29-11-21,2976.57809
30-11-21,3184.025032
01-12-21,4439.55898
02-12-21,2751.486231
03-12-21,2278.951669
04-12-21,4203.684632
05-12-21,3726.995703
06-12-21,2951.417785
07-12-21,2811.729324
08-12-21,2872.594305
09-12-21,2426.042158
10-12-21,2344.66447
11-12-21,2737.904018
12-12-21,2884.675126
13-12-21,3285.985465
14-12-21,3556.360257
15-12-21,2395.39792
16-12-21,4146.395185
17-12-21,2874.493302
18-12-21,3965.572393
19-12-21,2931.20481
20-12-21,4194.642091
21-12-21,3074.732005
22-12-21,4523.821469
23-12-21,3225.917458
24-12-21,2882.045137
25-12-21,2792.746345
26-12-21,3809.158544
27-12-21,3695.636261
28-12-21,2475.684836
29-12-21,2489.456408
30-12-21,2789.640675
31-12-21,2276.431344
01-01-22,2659.094175
02-01-22,2641.098983
03-01-22,2630.216389
04-01-22,2878.239042
05-01-22,3092.210611
06-01-22,2681.74485
07-01-22,4473.046572
08-01-22,2730.216087
09-01-22,2904.98074
10-01-22,2493.544268
11-01-22,3005.196306
12-01-22,2439.494917
13-01-22,4164.320322
14-01-22,2837.721795
15-01-22,2887.701305
16-01-22,4152.44975
17-01-22,3276.906412
18-01-22,2825.886954
19-01-22,4499.437444
20-01-22,2786.2434
21-01-22,3237.027588
22-01-22,2992.018811
23-01-22,2551.944604
24-01-22,2650.643207
25-01-22,3665.475376
26-01-22,3913.677313
27-01-22,4240.893233
28-01-22,2598.041836
29-01-22,2822.300161
30-01-22,3006.529785
31-01-22,2815.666398
01-02-22,4396.655387
02-02-22,3166.223804
03-02-22,2349.847446
04-02-22,2856.789973
05-02-22,2695.399055
06-02-22,2774.084766
07-02-22,2506.083504
08-02-22,2784.008446
09-02-22,2705.425391
10-02-22,2979.086683
11-02-22,3805.365162
12-02-22,3684.646715
13-02-22,4440.023118
14-02-22,2843.540115
15-02-22,2507.641799
16-02-22,2569.726076
17-02-22,3930.383349
18-02-22,2731.589408
19-02-22,2976.718587
20-02-22,2760.028622
21-02-22,3006.316725
22-02-22,4232.693291
23-02-22,2362.816376
24-02-22,2781.889584
25-02-22,3279.153907
26-02-22,2695.787443
27-02-22,3111.388422
28-02-22,3165.102102
01-03-22,4402.749744
02-03-22,3939.032238
03-03-22,4358.028761
04-03-22,3436.60468
05-03-22,2383.516939
06-03-22,2444.046695
07-03-22,2881.59691
08-03-22,2839.788788
09-03-22,2983.842574
10-03-22,3012.79777
11-03-22,2773.674861
12-03-22,3443.983174
13-03-22,2962.992138
14-03-22,3518.710359
15-03-22,3736.848552
16-03-22,3665.443943
17-03-22,2681.629684
18-03-22,2632.457625
19-03-22,3142.266879
20-03-22,2852.195712
21-03-22,2578.52489
22-03-22,4400.0836
23-03-22,2312.840325
24-03-22,2801.739664
25-03-22,4365.909992
26-03-22,2754.101592
27-03-22,2707.180268
28-03-22,4127.464919
29-03-22,4475.732615
30-03-22,3221.706267
31-03-22,2613.301953
01-04-22,2706.13894
02-04-22,2952.843799
03-04-22,2498.722307
04-04-22,2925.906859
05-04-22,3630.939223
06-04-22,2336.395694
07-04-22,2913.646134
08-04-22,2691.249278
09-04-22,2270.404079
10-04-22,3038.420371
11-04-22,2477.572643
12-04-22,3849.878845
13-04-22,2929.921487
14-04-22,2918.435117
15-04-22,2862.57733
16-04-22,2349.141211
17-04-22,2353.781077
18-04-22,2761.402024
19-04-22,2428.502068
20-04-22,2782.928871
21-04-22,3406.747173
22-04-22,4290.492174
23-04-22,3936.741276
24-04-22,2783.658428
25-04-22,3223.692499
26-04-22,2443.617311
27-04-22,2709.605938
28-04-22,2743.945114
29-04-22,3695.501691
30-04-22,2989.669567
01-05-22,2270.048419
02-05-22,2887.614224
03-05-22,2641.953156
04-05-22,2529.0173
05-05-22,2737.835333
06-05-22,4208.795647
07-05-22,2751.765296
08-05-22,4398.223821
09-05-22,2809.463276
10-05-22,2789.785889
11-05-22,2672.142336
12-05-22,2732.27819
13-05-22,2923.659801
14-05-22,2357.578991
15-05-22,3724.412067
16-05-22,3998.367602
17-05-22,3045.806067
18-05-22,2296.230102
19-05-22,3505.161356
20-05-22,2726.76869
21-05-22,3327.810933
22-05-22,3829.426277
23-05-22,2862.408472
24-05-22,2747.072386
25-05-22,2878.438649
26-05-22,3132.974593
27-05-22,3793.172685
28-05-22,2573.157857
29-05-22,2398.604913
30-05-22,2550.947859
31-05-22,2833.653006
01-06-22,2602.516281
02-06-22,4428.655812
03-06-22,3662.703422
04-06-22,2513.556591
05-06-22,3469.634375
06-06-22,2428.728671
07-06-22,3121.304315
08-06-22,2367.667331
09-06-22,2823.126064
10-06-22,2650.709129
11-06-22,3440.60876
12-06-22,2858.328115
13-06-22,2879.758534
14-06-22,4200.015014
15-06-22,3225.251749
16-06-22,3088.888675
17-06-22,3275.585726
18-06-22,2995.68573
19-06-22,2656.15382
20-06-22,2390.195995
21-06-22,3359.954581
22-06-22,3051.179153
23-06-22,3400.081772
24-06-22,4226.889168
25-06-22,3928.480104
26-06-22,2767.733938
27-06-22,2468.237528
28-06-22,2926.194695
29-06-22,3831.071065
30-06-22,2713.117256
01-07-22,2894.306592
02-07-22,2711.797551
03-07-22,2807.178517
04-07-22,2689.202705
05-07-22,2840.352577
06-07-22,2809.851657
07-07-22,2907.387817
08-07-22,2873.569454
09-07-22,4295.086789
10-07-22,2440.007608
11-07-22,3078.746521
12-07-22,3350.516289
13-07-22,3469.846642
14-07-22,3940.249639
15-07-22,2951.137972
16-07-22,3119.778605
17-07-22,3390.558379
18-07-22,4349.548087
19-07-22,3958.434414
20-07-22,3140.250347
21-07-22,2784.588274
22-07-22,2399.034943
23-07-22,2733.374464
24-07-22,3284.791253
25-07-22,3771.090963
26-07-22,2552.869187
27-07-22,2604.046702
28-07-22,2498.004319
29-07-22,4489.553469
30-07-22,4422.302572
31-07-22,2898.749152
01-08-22,2825.134225
02-08-22,2931.485345
03-08-22,4203.030674
04-08-22,2498.257292
05-08-22,3963.013174
06-08-22,2388.548532
07-08-22,2839.422122
08-08-22,2388.342187
09-08-22,2681.781093
10-08-22,3700.029292
11-08-22,3022.288421
12-08-22,3274.839118
13-08-22,2907.420263
14-08-22,3701.259204
15-08-22,2926.164067
16-08-22,2635.748668
17-08-22,2909.40675
18-08-22,2924.438889
19-08-22,2900.416389
20-08-22,2436.02244
21-08-22,3587.970368
22-08-22,2727.905181
23-08-22,2885.753463
24-08-22,2615.592001
